,Load Target (%)
0,16.361656244145834
250,16.361656244145834
500,16.361656244145834
750,16.361656244145834
1000,16.361656244145834
1250,16.361656244145834
1500,16.361656244145834
1750,16.681423306359292
2000,16.681423306359292
2250,16.681423306359292
2500,16.681423306359292
2750,16.681423306359292
3000,16.681423306359292
3250,16.681423306359292
3500,16.681423306359292
3750,16.681423306359292
4000,13.955776996371585
4250,13.955776996371585
4500,13.955776996371585
4750,13.955776996371585
5000,13.955776996371585
5250,13.955776996371585
5500,13.955776996371585
5750,11.016251891799456
6000,11.016251891799456
6250,11.016251891799456
6500,11.016251891799456
6750,11.016251891799456
7000,11.016251891799456
7250,11.016251891799456
7500,11.016251891799456
7750,11.016251891799456
8000,11.016251891799456
8250,11.016251891799456
8500,10.908306093765916
8750,10.908306093765916
9000,10.908306093765916
9250,10.908306093765916
9500,10.908306093765916
9750,10.908306093765916
10000,10.908306093765916
10250,10.908306093765916
10500,10.908306093765916
10750,10.908306093765916
11000,10.908306093765916
11250,10.908306093765916
11500,10.908306093765916
11750,10.908306093765916
12000,10.908306093765916
12250,10.908306093765916
12500,10.907232599641816
12750,10.907232599641816
13000,10.907232599641816
13250,10.907232599641816
13500,10.907232599641816
13750,10.907232599641816
14000,10.907232599641816
14250,10.907232599641816
14500,10.907232599641816
14750,10.907232599641816
15000,10.907232599641816
15250,10.907232599641816
15500,10.907232599641816
15750,10.907232599641816
16000,10.907232599641816
16250,10.907232599641816
16500,10.692414497698806
16750,10.692414497698806
17000,10.692414497698806
17250,10.692414497698806
17500,10.692414497698806
17750,10.692414497698806
18000,10.692414497698806
18250,10.692414497698806
18500,10.692414497698806
18750,10.692414497698806
19000,10.692414497698806
19250,10.692414497698806
19500,10.692414497698806
19750,5.695418627182264
20000,5.695418627182264
20250,5.695418627182264
20500,5.695418627182264
20750,5.695418627182264
21000,5.695418627182264
21250,8.059834164413516
21500,8.059834164413516
21750,11.0654835251015
22000,11.0654835251015
22250,12.989184995471746
22500,12.989184995471746
22750,16.034777283360256
23000,16.034777283360256
23250,16.034777283360256
23500,16.034777283360256
23750,16.034777283360256
24000,16.034777283360256
24250,16.034777283360256
24500,17.47686754266978
24750,17.47686754266978
25000,17.47686754266978
25250,17.47686754266978
25500,17.47686754266978
25750,24.744184208512905
26000,9.461325472335531
26250,10.583395205541166
26500,14.804821390683529
26750,14.804821390683529
27000,14.804821390683529
27250,14.804821390683529
27500,29.819962620025198
27750,29.819962620025198
28000,29.819962620025198
28250,29.819962620025198
28500,31.583355634531245
28750,43.44600245279371
29000,43.44600245279371
29250,43.44600245279371
29500,46.972699023962136
29750,44.94203579183876
30000,34.68223497796836
30250,36.632535247191086
30500,36.632535247191086
30750,36.632535247191086
31000,36.632535247191086
31250,36.632535247191086
31500,36.632535247191086
31750,36.632535247191086
32000,36.83216042535008
32250,36.83216042535008
32500,36.83216042535008
32750,36.83216042535008
33000,36.83216042535008
33250,36.83216042535008
33500,39.59734710224179
33750,41.52104857261203
34000,43.44475004298226
34250,45.368272597665154
34500,47.291974068035394
34750,47.291974068035394
35000,65.24634220913696
35250,65.24634220913696
35500,65.24634220913696
35750,60.27669061950349
36000,70.80358273530385
36250,68.3988962587786
36500,50.76478719803073
36750,50.76478719803073
37000,50.76478719803073
37250,50.76478719803073
37500,46.970283662182936
37750,46.970283662182936
38000,46.970283662182936
38250,46.970283662182936
38500,46.970283662182936
38750,40.39745805606394
39000,40.39745805606394
39250,40.39745805606394
39500,42.24082638281473
39750,42.24082638281473
40000,44.08432889633104
40250,44.08432889633104
40500,44.08432889633104
40750,44.08432889633104
41000,44.08432889633104
41250,44.80504601389232
41500,44.80504601389232
41750,44.80504601389232
42000,44.80504601389232
42250,44.80504601389232
42500,49.213528550157456
42750,51.77837438614077
43000,51.77837438614077
43250,55.62568786903757
43500,55.62568786903757
43750,55.62568786903757
44000,58.02995687562568
44250,58.02995687562568
44500,58.02995687562568
44750,58.02995687562568
45000,60.43440479790112
45250,60.43440479790112
45500,64.2818077386416
45750,66.92680780255701
46000,69.09088249887985
46250,71.01458396925008
46500,72.77779806806879
46750,72.77779806806879
47000,78.38859402331532
47250,78.38859402331532
47500,78.38859402331532
47750,80.41880996622032
48000,80.41880996622032
48250,80.41880996622032
48500,80.41880996622032
48750,80.41880996622032
49000,80.41880996622032
49250,80.41880996622032
49500,80.41880996622032
49750,82.17076430444857
50000,82.17076430444857
50250,82.17076430444857
50500,82.17076430444857
50750,82.17076430444857
51000,82.17076430444857
51250,82.17076430444857
51500,82.17076430444857
51750,82.17076430444857
52000,80.19054336844496
52250,80.19054336844496
52500,80.19054336844496
52750,80.19054336844496
53000,80.19054336844496
53250,82.87544163063907
53500,82.87544163063907
53750,88.64654604174979
54000,91.21139187773308
54250,91.21139187773308
54500,91.21139187773308
54750,92.65389960697976
55000,92.65389960697976
55250,92.65389960697976
55500,95.21874544296308
55750,95.21874544296308
56000,95.21874544296308
56250,95.21874544296308
56500,98.55796819307156
56750,98.55796819307156
57000,98.55796819307156
57250,98.55796819307156
57500,98.55796819307156
57750,98.55796819307156
58000,98.55796819307156
58250,98.55796819307156
58500,98.55796819307156
58750,98.55796819307156
59000,98.42357269259168
59250,98.42357269259168
59500,98.42357269259168
59750,98.42357269259168
60000,98.42357269259168
60250,98.42357269259168
60500,98.42357269259168
60750,98.42357269259168
61000,98.42357269259168
61250,98.42357269259168
61500,95.29706578509985
61750,95.29706578509985
62000,95.29706578509985
62250,95.29706578509985
62500,95.29706578509985
62750,95.29706578509985
63000,95.29706578509985
63250,95.29706578509985
63500,95.29706578509985
63750,95.29706578509985
64000,94.54810980821873
64250,94.54810980821873
64500,94.54810980821873
64750,94.54810980821873
65000,94.54810980821873
65250,94.54810980821873
65500,94.54810980821873
65750,94.54810980821873
66000,94.54810980821873
66250,94.54810980821873
66500,94.54810980821873
66750,94.54810980821873
67000,94.54810980821873
67250,94.54810980821873
67500,94.573754390072
67750,94.573754390072
68000,94.573754390072
68250,94.573754390072
68500,94.573754390072
68750,94.573754390072
69000,94.573754390072
69250,94.573754390072
69500,94.573754390072
69750,94.573754390072
70000,94.573754390072
70250,94.573754390072
70500,94.573754390072
70750,94.573754390072
71000,94.573754390072
71250,94.573754390072
71500,94.86657973169892
71750,94.86657973169892
72000,94.86657973169892
72250,94.86657973169892
72500,94.86657973169892
72750,94.86657973169892
73000,94.86657973169892
73250,94.86657973169892
73500,94.86657973169892
73750,94.86657973169892
74000,94.86657973169892
74250,94.86657973169892
74500,94.86657973169892
74750,94.86657973169892
75000,94.86657973169892
75250,95.15940507332584
75500,95.15940507332584
75750,95.15940507332584
76000,95.15940507332584
76250,95.15940507332584
76500,95.15940507332584
76750,95.15940507332584
77000,95.15940507332584
77250,95.15940507332584
77500,95.15940507332584
77750,95.15940507332584
78000,95.15940507332584
78250,95.15940507332584
78500,95.15940507332584
78750,95.15940507332584
79000,95.15940507332584
79250,95.21176773115648
79500,95.21176773115648
79750,95.21176773115648
80000,95.21176773115648
80250,95.21176773115648
80500,95.21176773115648
80750,95.21176773115648
81000,95.21176773115648
81250,95.21176773115648
81500,95.21176773115648
81750,95.21176773115648
82000,95.21176773115648
82250,95.21176773115648
82500,95.21176773115648
82750,95.21176773115648
83000,98.45441775709055
83250,98.45441775709055
83500,98.45441775709055
83750,98.45441775709055
84000,98.45441775709055
84250,98.45441775709055
84500,98.45441775709055
84750,98.45441775709055
85000,98.45441775709055
85250,98.45441775709055
85500,98.47003113273982
85750,98.47003113273982
86000,98.47003113273982
86250,98.47003113273982
86500,95.17822103977863
86750,95.17822103977863
87000,95.17822103977863
87250,95.17822103977863
87500,95.17822103977863
87750,92.75173666867812
88000,92.75173666867812
88250,92.75173666867812
88500,92.75173666867812
88750,92.75173666867812
89000,92.75173666867812
89250,92.75173666867812
89500,92.75173666867812
89750,92.75173666867812
90000,92.75173666867812
90250,92.75173666867812
90500,93.20487046616924
90750,93.20487046616924
91000,93.20487046616924
91250,93.20487046616924
91500,93.20487046616924
91750,93.20487046616924
92000,93.20487046616924
92250,93.20487046616924
92500,93.20487046616924
92750,93.20487046616924
93000,93.20487046616924
93250,93.20487046616924
93500,93.20487046616924
93750,93.20487046616924
94000,93.20487046616924
94250,93.20487046616924
94500,93.33738735193197
94750,93.33738735193197
95000,93.33738735193197
95250,93.33738735193197
